    ,Item Type,Publication Year,Author,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Title,key,Abstract,doi url,Publication Title,ISBN,ISSN,DOI,Url,Date,Date Added,Date Modified,Pages,Begin Page,End Page,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Series,Publisher,Place,Language,Archive,Library Catalog,Extra,Notes,Publication Type 2,File Attachments,Manual Tags,Editor,Meeting Name,Meeting Location,Conference Name
UEGP7GD7,journalArticle,2002,"Wetzels, W. Leo","Wetzels, W. Leo",,,,,,On the Relation between Quantity-Sensitive Stress and Distinctive Vowel Length: The History of a Principle and Its Relevance for Romance,On The Relation Between Quantity-sensitive Stress And Distinctive Vowel Length: The History Of A Principle And Its Relevance For Romance,"It is now clear that Trubetzkoy's principle is the conclusion of a long debate about the representation of vowel length, and all the empirical evidence considered, even by Jakobson, was selected in function of that unique objective. We now know that there are languages which have no contrastive vowel length but which do have word-level, non-morphologically conditioned stress rules based on mora count, some of which are mentioned in Ohsieck (1978). Of course we cannot blame Trubetzkoy for not knowing all the languages of the world. We can certainly not blame him for not having observed that Spanish and Portuguese are examples of languages that count moras despite the fact that they have no long vowels. Stress in these languages is used distinctively and is therefore non-automatic. This is, in the eyes of a European structuralist, in contradiction with the idea that it can be rule governed. We had to wait for a completely different conception of what a phonological generalization may look like, in order to state the Romance stress facts as being rule governed. To conclude, it does not make much sense to refer to Trubetzkoy to dismiss the possibility of a weight-sensitive stress rule for Romance.",https://doi.org/10.1075/cilt.217.16wet,Romance Phonology and Variation,,978-90-272-3724-8 (Eur.),,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2002933178&site=ehost-live,2002,11/6/19 21:38,11/6/19 21:44,219-234,219,234,15,"x, 238",,,99948,Amsterdam Studies in the Theory and History of Linguistic Science IV: 217,,,,mzh,EBSCOhost,4,"<p>Accession Number: 2002933178. Series ISSN: 0304-0763. Title Page Note: Selected Papers from the 30th Linguistic Symposium on Romance Languages, Gainesville, Florida, February 2000 Publication Type: book article. Language: English. Update Code: 200209. DOI: 10.1075/cilt.217.16wet.</p>",book article,,,"Wiltshire, Caroline R.; Camps, Joaquim",LSRL30,University of Florida,Linguistic Symposium on Romance Languages
E34BDLTB,journalArticle,2002,"Tranel, Bernard; Del Gobbo, Francesca","Tranel, Bernard"," Del Gobbo, Francesca",,,,,Local Conjunction in Italian and French Phonology,Local Conjunction In Italian And French Phonology,"This paper presents evidence from Dutch, Italian, and French motivating the existence of the a priori reasonable, yet so far typologically-challenged, conjoined constraint {ONSET&NOCODA}. This constraint makes sense of the acquisition pattern of Dutch syllable structure (Section 2) and is shown to play a key role in explaining the suppletive distribution of the masculine plural definite article in Italian (Section 3.1) and the exceptional behavior of h-aspiré words with respect to optional schwa deletion in French (Section 4.1). Interestingly, the local domains of relevance for (ONSET&NOCODA) are found to differ in the Italian/Dutch vs. French cases, thereby challenging the hypothesis that conjoined constraints absolutely self-define their domains. Domain-indexation, independently proposed for self-conjoined constraints, may thus be more generally necessary in Local Conjunction. {ONSET&NOCODA} does not go unviolated in either Italian or French. The allomorphic distribution of the masculine singular definite article in Italian (Section 3.2) and 'liaison sans enchainement' in French (Section 4.2) are cases in point and are analyzed in some detail. Besides Local Conjunction, other general issues touched upon in this paper include the cross-theoretical evidence provided by suppletion in favor of Optimality Theory (OT), the nature of mental representations in relation to surface allomorphs, and the formalization of variation within OT.",https://doi.org/10.1075/cilt.217.15tra,Romance Phonology and Variation,,978-90-272-3724-8 (Eur.),,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2002933177&site=ehost-live,2002,11/6/19 21:38,11/6/19 21:43,191-218,191,218,27,"x, 238",,,99948,Amsterdam Studies in the Theory and History of Linguistic Science IV: 217,,,,mzh,EBSCOhost,26,"<p>Accession Number: 2002933177. Series ISSN: 0304-0763. Title Page Note: Selected Papers from the 30th Linguistic Symposium on Romance Languages, Gainesville, Florida, February 2000 Publication Type: book article. Language: English. Update Code: 200209. DOI: 10.1075/cilt.217.15tra.</p>",book article,,optimality theory,"Wiltshire, Caroline R.; Camps, Joaquim",LSRL30,University of Florida,Linguistic Symposium on Romance Languages
2NAMQZX5,journalArticle,2002,"Scullen, Mary Ellen","Scullen, Mary Ellen",,,,,,New Insights into French Reduplication,New Insights Into French Reduplication,"In this paper, I hope to show that both of these claims are patently false. In particular, I will present new data on ‘invented’reduplications in the domain of French baby-talk which strongly suggest that French reduplication is indeed productive and that it can be analyzed straightforwardly within a constraint based approach such as Optimality Theory (Prince & Smolensky 1993, McCarthy & Prince 1993). Furthermore, from a theoretical standpoint, this analysis of French reduplication is especially interesting in that several instances of the emergence of the unmarked or TETU (McCarthy & Prince 1994) arise from careful analysis of the new data.",https://doi.org/10.1075/cilt.217.14scu,Romance Phonology and Variation,,978-90-272-3724-8 (Eur.),,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2002933176&site=ehost-live,2002,11/6/19 21:38,11/6/19 21:43,177-189,177,189,12,"x, 238",,,99948,Amsterdam Studies in the Theory and History of Linguistic Science IV: 217,,,,mzh,EBSCOhost,7,"<p>Accession Number: 2002933176. Series ISSN: 0304-0763. Title Page Note: Selected Papers from the 30th Linguistic Symposium on Romance Languages, Gainesville, Florida, February 2000 Publication Type: book article. Language: English. Update Code: 200209. DOI: 10.1075/cilt.217.14scu.</p>",book article,,optimality theory,"Wiltshire, Caroline R.; Camps, Joaquim",LSRL30,University of Florida,Linguistic Symposium on Romance Languages
3BN3DP33,journalArticle,2002,"Schwenter, Scott A.","Schwenter, Scott A.",,,,,,Discourse Context and Polysemy: Spanish casi,Discourse Context And Polysemy: Spanish Casi,"This paper presents a study of the Spanish adverb casi ""almost"", with implications both for Hispanic linguistics and for the field of pragmatics more generally. First, for Hispanic linguistics, it provides a novel analysis of the canonical meaning of casi, and a description/analysis of an innovative use of this adverb in the spoken Spanish of one region in Spain. For pragmatics (and also semantics, given the diffuse boundary between the two), it offers up a case study which illustrates how to distinguish between contextually-determined interpretations of a lexical item, on the one hand, and conventionalized senses -- polysemies -- of the same lexical item, on the other.",https://doi.org/10.1075/cilt.217.13sch,Romance Phonology and Variation,,978-90-272-3724-8 (Eur.),,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2002933175&site=ehost-live,2002,11/6/19 21:38,11/6/19 21:43,161-175,161,175,14,"x, 238",,,99948,Amsterdam Studies in the Theory and History of Linguistic Science IV: 217,,,,mzh,EBSCOhost,27,"<p>Accession Number: 2002933175. Series ISSN: 0304-0763. Title Page Note: Selected Papers from the 30th Linguistic Symposium on Romance Languages, Gainesville, Florida, February 2000 Publication Type: book article. Language: English. Update Code: 200209. DOI: 10.1075/cilt.217.13sch.</p>",book article,,,"Wiltshire, Caroline R.; Camps, Joaquim",LSRL30,University of Florida,Linguistic Symposium on Romance Languages
22Z4W94G,journalArticle,2002,"Miller, D. Gary","Miller, D. Gary",,,,,,The Death of French in Medieval England,The Death Of French In Medieval England,"It is widely agreed that Anglo-French (AF) was dead by ca. 1400. Several new pieces of evidence in support of that thesis are adduced here. In the records of the London Grocers' Company (LGrC), one can literally watch AF die between 1400 and 1430. Not fortuitously, this correlates with the decline of French calques in English and the increase of French suffixes in English hybrids, neither of which is characteristic of code-switching bilinguals. Section 1 overviews the expansion of French in England. Section 2 reviews how English survived the onslaught. In section 3, we switch to languages in contact and the signs of language death. Section 4 reviews some characteristics of late Anglo-Norman (AN) literature, and section 5 targets the death of AF in the LGrC records.",https://doi.org/10.1075/cilt.217.12mil,Romance Phonology and Variation,,978-90-272-3724-8 (Eur.),,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2002933174&site=ehost-live,2002,11/6/19 21:38,11/6/19 21:43,145-159,145,159,14,"x, 238",,,99948,Amsterdam Studies in the Theory and History of Linguistic Science IV: 217,,,,mzh,EBSCOhost,6,"<p>Accession Number: 2002933174. Series ISSN: 0304-0763. Title Page Note: Selected Papers from the 30th Linguistic Symposium on Romance Languages, Gainesville, Florida, February 2000 Publication Type: book article. Language: English. Update Code: 200209. DOI: 10.1075/cilt.217.12mil.</p>",book article,,,"Wiltshire, Caroline R.; Camps, Joaquim",LSRL30,University of Florida,Linguistic Symposium on Romance Languages
8KTNSRR6,journalArticle,2002,"Lipski, John M.","Lipski, John M.",,,,,,Partial Spanish: Strategies of Pidginization and Simplification: From Lingua Franca to 'Gringo Lingo',Partial Spanish: Strategies Of Pidginization And Simplification: From Lingua Franca To 'gringo Lingo',"The overview of reduced Spanish varieties yields the unmistakable conclusion that a collective stereotype of imperfect Spanish has existed for several centuries, independently of the existence of actual specimens of such language. This remarkable survival stems from the convergence of several factors, including a nearly unbroken--if unflattering--literary tradition, a poignant if inaccurate awareness of early child language, and a conscious decision to homogenize Spanish grammar to a degree not found in spontaneous second language acquisition. It is the latter phenomenon which sets Spanish foreigner talk apart from the majority of La Spanish varieties, in whose evolution native speaker simplification has played an insignificant role. At the root of the decision by native speakers to use a contrived language is the perceived status of the pidginizing group, the likelihood that the La speakers can and will acquire and understand complete Spanish, and the necessity for sustained communication between native speakers and the L2-speaking group. Non-interference with second language speakers' acquisition of Spanish is the unmarked case, and results in varieties such as Afro-Hispanic bozal language and the actually occurring La Spanish of Anglophone Central Americans, Chinese speakers, and North Africans (Casado-Fresnillo 1995, Tarkki 1995), The original Lingua Franca, a comprehensive Romance-based contact language formed with the active collaboration of speakers of languages cognate with Spanish, never fully disappeared beneath the horizon as the Spanish language evolved and spread to other continents. In circumstances in which communication with groups felt-if only grudgingly--to be essential trade partners, Spanish speakers have always been able to slip back into a form of discourse which owes little to coincidental similarity or the meanderings of universal grammar. The ready availability of this artificially generated but culturally potent linguistic template has at times deflected attention away from contact languages formed through natural selection, and in which substratum and universal features predominate over intentional simplification.",,Romance Phonology and Variation,,978-90-272-3724-8 (Eur.),,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2002933173&site=ehost-live,2002,11/6/19 21:38,11/6/19 21:40,117-143,117,143,26,"x, 238",,,99948,Amsterdam Studies in the Theory and History of Linguistic Science IV: 217,,,,mzh,EBSCOhost,39,"<p>Accession Number: 2002933173. Series ISSN: 0304-0763. Title Page Note: Selected Papers from the 30th Linguistic Symposium on Romance Languages, Gainesville, Florida, February 2000 Publication Type: book article. Language: English. Update Code: 200209. DOI: 10.1075/cilt.217.11lip.</p>",book article,,1500-1999,"Wiltshire, Caroline R.; Camps, Joaquim",LSRL30,University of Florida,Linguistic Symposium on Romance Languages
Q7LBCNPI,journalArticle,2002,"Hualde, José Ignacio","Hualde, José Ignacio",,,,,,Intonation in Spanish and the Other Ibero-Romance Languages: Overview and Status Quaestionis,Intonation In Spanish And The Other Ibero-romance Languages: Overview And Status Quaestionis,"In this paper, rather than chronologically reviewing work on intonation in Ibero-Romance in the last two or three decades, we will examine some specific issues in the intonation of Spanish and its close relatives that have arisen in recent work and are currently controversial. In particular we will focus on three issues: the phonological analysis of rising pitch-accents, the nature and phonological characterization of final declarative contours, and intonational phrasing. These are fundamental issues in the sense that they concern the analysis of the most basic utterances.",https://doi.org/10.1075/cilt.217.10hua,Romance Phonology and Variation,,978-90-272-3724-8 (Eur.),,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2002933172&site=ehost-live,2002,11/6/19 21:38,11/6/19 21:41,101-115,101,115,14,"x, 238",,,99948,Amsterdam Studies in the Theory and History of Linguistic Science IV: 217,,,,mzh,EBSCOhost,211,"<p>Accession Number: 2002933172. Series ISSN: 0304-0763. Title Page Note: Selected Papers from the 30th Linguistic Symposium on Romance Languages, Gainesville, Florida, February 2000 Publication Type: book article. Language: English. Update Code: 200209. DOI: 10.1075/cilt.217.10hua.</p>",book article,,,"Wiltshire, Caroline R.; Camps, Joaquim",LSRL30,University of Florida,Linguistic Symposium on Romance Languages
U7C8YXPP,journalArticle,2002,"Holt, D. Eric","Holt, D. Eric",,,,,,The Articulator Group and Liquid Geometry: Implications for Spanish Phonology Present and Past,The Articulator Group And Liquid Geometry: Implications For Spanish Phonology Present And Past,"In appealing to recent insights on the internal structure of the segment, namely the articulator group hypothesis and liquid geometry, this work sheds new light on several long-standing recalcitrant issues in Spanish phonology specifically, including spirantization and a host of historical developments, and phonological theory more generally, and promises much for analyses of other languages where /l/’s behavior with regard to [±continuant] has been seen as ambivalent or contradictory in the past. These are welcome results.",https://doi.org/10.1075/cilt.217.09hol,Romance Phonology and Variation,,978-90-272-3724-8 (Eur.),,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2002933171&site=ehost-live,2002,11/6/19 21:38,11/6/19 21:41,85-99,85,99,14,"x, 238",,,99948,Amsterdam Studies in the Theory and History of Linguistic Science IV: 217,,,,mzh,EBSCOhost,19,"<p>Accession Number: 2002933171. Series ISSN: 0304-0763. Title Page Note: Selected Papers from the 30th Linguistic Symposium on Romance Languages, Gainesville, Florida, February 2000 Publication Type: book article. Language: English. Update Code: 200209. DOI: 10.1075/cilt.217.09hol.</p>",book article,,diachronic approach; feature geometry,"Wiltshire, Caroline R.; Camps, Joaquim",LSRL30,University of Florida,Linguistic Symposium on Romance Languages
KS7PNNNW,journalArticle,2002,"Herrick, Dylan","Herrick, Dylan",,,,,,Catalan Phonology: Cluster Simplification and Nasal Place Assimilation,Catalan Phonology: Cluster Simplification And Nasal Place Assimilation,"This paper examines the complex interaction of nasal place assimilation (hereafter PA) and cluster simplification (hereafter CS) from the perspective of a parallel non-serial version of Optimality Theory (OT, Prince & Smolensky 1993). Within OT, the solution  makes use of Correspondence Theory (McCarthy & Prince 1995) and output-output constraints (Benua 1995) to illustrate that by straightforwardly combining an analysis of CS with an analysis of NPA we can account for the apparent opacity without the need for additional theoretic machinery such as cyclicity, multiple levels, or underspecification.",https://doi.org/10.1075/cilt.217.08her,Romance Phonology and Variation,,978-90-272-3724-8 (Eur.),,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2002933170&site=ehost-live,2002,11/6/19 21:38,11/6/19 21:42,69-83,69,83,14,"x, 238",,,99948,Amsterdam Studies in the Theory and History of Linguistic Science IV: 217,,,,mzh,EBSCOhost,11,"<p>Accession Number: 2002933170. Series ISSN: 0304-0763. Title Page Note: Selected Papers from the 30th Linguistic Symposium on Romance Languages, Gainesville, Florida, February 2000 Publication Type: book article. Language: English. Update Code: 200209. DOI: 10.1075/cilt.217.08her.</p>",book article,,optimality theory,"Wiltshire, Caroline R.; Camps, Joaquim",LSRL30,University of Florida,Linguistic Symposium on Romance Languages
9L7CM6N2,journalArticle,2002,"Heap, David","Heap, David",,,,,,Morphological Complexity and Spanish Object Clitic Variation,Morphological Complexity And Spanish Object Clitic Variation,"Spanish has two different types of third person object pronoun paradigms in different varieties or dialects. Broadly speaking, we can call these two systems the etymological (or case-based) system and the referential system. The latter system includes the usages termed loismo, leismo, and laismo in the Hispanic philological tradition. These two types of pronominal paradigms make differential use of morphological contrasts based on features such as [DATIVE], [FEMININE], [PLURAL], and in some referential varieties, the distinction between [COUNT] and MASS] nouns. But an analysis which treats these as binary features and allows for their free combination in unordered matrices seriously overpredicts the number of surface contrasts, whereas the attested pronoun paradigms are in fact highly constrained. This paper proposes a Feature Geometry account which allows for the attested range of variation in pronoun paradigms without opening the door to unconstrained variation.",https://doi.org/10.1075/cilt.217.07hea,Romance Phonology and Variation,,978-90-272-3724-8 (Eur.),,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2002933169&site=ehost-live,2002,11/6/19 21:38,11/6/19 21:42,55-68,55,68,13,"x, 238",,,99948,Amsterdam Studies in the Theory and History of Linguistic Science IV: 217,,,,mzh,EBSCOhost,19,"<p>Accession Number: 2002933169. Series ISSN: 0304-0763. Title Page Note: Selected Papers from the 30th Linguistic Symposium on Romance Languages, Gainesville, Florida, February 2000 Publication Type: book article. Language: English. Update Code: 200209. DOI: 10.1075/cilt.217.07hea.</p>",book article,,feature geometry,"Wiltshire, Caroline R.; Camps, Joaquim",LSRL30,University of Florida,Linguistic Symposium on Romance Languages
B82VS2PF,journalArticle,2002,"Gutiérrez-Bravo, Rodrigo","Gutiérrez-Bravo, Rodrigo",,,,,,"Focus, Word Order Variation and Intonation in Spanish and English: An OT Account","Focus, Word Order Variation And Intonation In Spanish And English: An Ot Account","In this paper I have provided an OT analysis of the cross-linguistic differences between Spanish and English with respect to focus, intonation and word order. This analysis draws on several advantages of OT. First, by formulating the NSR as a violable constraint, I have suggested that there is no need to abandon it as a tool in the analysis of sentential stress assignment. In languages like English, where it is a low-ranking constraint, we expect its effects to be overridden by other higher-ranking constraints. However, in the cases of sentence focus, where satisfaction of the constraints that dominate the NSR is not at stake, its effects are still observed. Secondly, an analysis of Focus-related subject inversion in Spanish is arrived at through the languagespecific ranking of the same constraints operational in English. Concretely, in Spanish the NSR dominates the SUBJECT constraint, whereas English has the opposite ranking. Unlike previous analyses, both derivational and Optimalitytheoretic, this result is achieved without the need to appeal to a stipulative ALIGN-FOCUS constraint, a Focus Phrase, or language-specific intonational properties distinguishing both languages. Lastly, the analysis explains why VOS sentences in Spanish necessarily have an interpretation in which the subject is the focus, all else being equal, a VOS sentence will always be less harmonious with respect to the SUBJECT and STAY constraints than the SVO and VSO candidates. Only when satisfaction of the NSR and FOC constraints is at stake can this candidate be more harmonious than the SVO and VSO candidates and thus emerge as the winner.",https://doi.org/10.1075/cilt.217.06gut,Romance Phonology and Variation,,978-90-272-3724-8 (Eur.),,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2002933168&site=ehost-live,2002,11/6/19 21:38,11/6/19 21:41,39-53,39,53,14,"x, 238",,,99948,Amsterdam Studies in the Theory and History of Linguistic Science IV: 217,,,,mzh,EBSCOhost,39,"<p>Accession Number: 2002933168. Series ISSN: 0304-0763. Title Page Note: Selected Papers from the 30th Linguistic Symposium on Romance Languages, Gainesville, Florida, February 2000 Publication Type: book article. Language: English. Update Code: 200209. DOI: 10.1075/cilt.217.06gut.</p>",book article,,optimality theory,"Wiltshire, Caroline R.; Camps, Joaquim",LSRL30,University of Florida,Linguistic Symposium on Romance Languages
QK2BPF42,journalArticle,2002,"Dussias, Paola E.","Dussias, Paola E.",,,,,,On the Relationship between Comprehension and Production Data in Codeswitching,On The Relationship Between Comprehension And Production Data In Codeswitching,"In a series of studies, Dussias (1997, 1999, 2001) investigated whether the functional element effect, often observed during sentence production, occurred in comprehension as well. The purpose of the present study is to investigate whether the comprehension preferences found in Dussias (1999) can be replicated in production data. ",https://doi.org/10.1075/cilt.217.05dus,Romance Phonology and Variation,,978-90-272-3724-8 (Eur.),,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2002933167&site=ehost-live,2002,11/6/19 21:38,11/6/19 21:42,27-38,27,38,11,"x, 238",,,99948,Amsterdam Studies in the Theory and History of Linguistic Science IV: 217,,,,mzh,EBSCOhost,11,"<p>Accession Number: 2002933167. Series ISSN: 0304-0763. Title Page Note: Selected Papers from the 30th Linguistic Symposium on Romance Languages, Gainesville, Florida, February 2000 Publication Type: book article. Language: English. Update Code: 200209. DOI: 10.1075/cilt.217.05dus.</p>",book article,,,"Wiltshire, Caroline R.; Camps, Joaquim",LSRL30,University of Florida,Linguistic Symposium on Romance Languages
3KW6GMMG,journalArticle,2002,"Bullock, Barbara E.","Bullock, Barbara E.",,,,,,Constraining the Vagaries of Glide Distribution in Varieties of French,Constraining The Vagaries Of Glide Distribution In Varieties Of French,"The distribution of glides and their alternation with high vowels is a staple issue in analyses of French phonology. This distribution, although complex, is largely predictable for standard French or, more accurately, le français de référence. Despite such regularity, the same language internal data have spawned numerous competing theoretical interpretations over the last few decades. Extant analyses rely in varying degrees on a distinction between ""true' diphthongs which are nuclear and derived or ""false” ones in which a glide, derived from an underlying high vowel, is parsed consonantally as part of the syllable onset. Here, this distinction will be shown to be untenable. In this article, I examine language-external evidence that points to how speakers of French actually treat surface glide-vowel (GV) sequences in linguistic performance. A great deal of external evidence - from child language to language games and dialectal variation - converges on a view of glides in French as essentially part of a complex syllable nucleus. In essence, although most linguistic descriptions of the phonetics of the language claim that diphthongs do not exist in French, external data based on speakers' linguistic behavior show instead that rising diphthongs are quite plentiful and that they need not be assumed to derive from their corresponding high vowel counterparts. Instead, what drives the distinction between dieresis (VV) and diphthongs (GV) across different language varieties is markedness  interactions with faithfulness constraints.",https://doi.org/10.1075/cilt.217.04bul,Romance Phonology and Variation,,978-90-272-3724-8 (Eur.),,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2002933166&site=ehost-live,2002,11/6/19 21:38,11/6/19 21:41,11-25,11,25,14,"x, 238",,,99948,Amsterdam Studies in the Theory and History of Linguistic Science IV: 217,,,,mzh,EBSCOhost,9,"<p>Accession Number: 2002933166. Series ISSN: 0304-0763. Title Page Note: Selected Papers from the 30th Linguistic Symposium on Romance Languages, Gainesville, Florida, February 2000 Publication Type: book article. Language: English. Update Code: 200209. DOI: 10.1075/cilt.217.04bul.</p>",book article,,optimality theory,"Wiltshire, Caroline R.; Camps, Joaquim",LSRL30,University of Florida,Linguistic Symposium on Romance Languages
DRZP8WRM,journalArticle,2001,"Villalta, Elisabeth","Villalta, Elisabeth",,,,,,A Comparative Semantics for the Subjunctive Mood in Spanish,A Comparative Semantics For The Subjunctive Mood In Spanish,"The distribution of indicative and subjunctive verb forms in Romance languages is known to be complex and rather difficult to characterize. In this paper, I attempt to provide a semantic characterization of the licensing contexts for subjunctive verb forms in Spanish. While I mainly concentrate on their distribution in the complement clause of propositional attitude predicates, ultimately, my goal is to determine an account that unifies as much as possible all the different uses of the subjunctive mood in Spanish. The proposal presented here departs from the widespread idea that a criterion related to the realis/irrealis notion plays a relevant role in the distribution of subjunctive mood. Instead, I investigate the following hypothesis: in Spanish, subjunctive mood appears in contexts that require comparison of alternative propositions. Whether these alternatives are real or counterfactual is irrelevant for the distribution of subjunctive mood.",https://doi.org/10.1075/cilt.216.17vil,"Romance Syntax, Semantics and L2 Acquisition",,978-90-272-3723-1 (Eur.),,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2001931808&site=ehost-live,2001,11/6/19 21:37,11/6/19 21:37,227-242,227,242,15,"x, 246",,,99948,Amsterdam Studies in the Theory and History of Linguistic Science IV: 216,,,,mzh,EBSCOhost,13,"<p>Accession Number: 2001931808. Series ISSN: 0304-0763. Title Page Note: Selected Papers from the 30th Linguistic Symposium on Romance Languages, Gainesville, Florida, February 2000 Publication Type: book article. Language: English. Update Code: 200107. DOI: 10.1075/cilt.216.17vil.</p>",book article,,,"Camps, Joaquim; Wiltshire, Caroline R.",LSRL30,University of Florida,Linguistic Symposium on Romance Languages
2CTBBI9X,journalArticle,2001,"Schmitt, Cristina","Schmitt, Cristina",,,,,,Syntactic Constraints on Access to Lexical Structure: The Case of Ficar,Syntactic Constraints On Access To Lexical Structure: The Case Of Ficar,"There has been very little systematic work on semantic alternations in verbs that are like 'be' in taking predicates as complements and in being unable to license referential thematic arguments on their own, but semantically differing from ""be” in carrying event-structure (aspectual) information. This paper discusses the ""be'-like verb ficar in Brazilian Portuguese, which seems ambiguous between a STAY reading and a BECOME reading, as illustrated below (In the text, capital letters are used for the basic meanings). In section 1 I present the assumptions about the lexical representations I am adopting; section 2 makes a proposal for ficar. In section 3 I discuss the behavior of ficar-adjectival predicates and in section 4 I discuss how locatives disallow BECOME readings.",https://doi.org/10.1075/cilt.216.16sch,"Romance Syntax, Semantics and L2 Acquisition",,978-90-272-3723-1 (Eur.),,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2001931807&site=ehost-live,2001,11/6/19 21:37,11/6/19 21:37,211-225,211,225,14,"x, 246",,,99948,Amsterdam Studies in the Theory and History of Linguistic Science IV: 216,,,,mzh,EBSCOhost,0,"<p>Accession Number: 2001931807. Series ISSN: 0304-0763. Title Page Note: Selected Papers from the 30th Linguistic Symposium on Romance Languages, Gainesville, Florida, February 2000 Publication Type: book article. Language: English. Update Code: 200107. DOI: 10.1075/cilt.216.16sch.</p>",book article,,,"Camps, Joaquim; Wiltshire, Caroline R.",LSRL30,University of Florida,Linguistic Symposium on Romance Languages
RLRMJVH3,journalArticle,2001,"Sagarra, Nuria","Sagarra, Nuria",,,,,,The Role of Syntactic Modifications on L2 Oral Comprehension,The Role Of Syntactic Modifications On L2 Oral Comprehension,"The role of input in second language acquisition (SLA) has been the focus of much SLA research and theory for the last two decades. Input processing depends on the second language learners' limited capacity to process and store incoming information (McLaughlin 1987, VanPatten 1996). If the demands of a task exceed what learners can attend to at a given point in time, either processing will slow down or storage will decrease, resulting in poor comprehension. This phenomenon is especially evident at early stages of acquisition, because limited knowledge and expectations about the second language demand a greater amount of cognitive effort. One way of reducing this cognitive effort to make both input comprehensible and communication possible consists of simplifying the input (Hatch 1983). According to the Input Hypothesis (Krashen 1980, 1982, 1985), SLA needs the presence of comprehensible input to occur. Input becomes comprehensible by means of linguistic simplifications and modifications to discourse structure (e.g., negotiated interaction) (Long 1983, 1985; Pica, Young & Doughty 1987). If linguistic and interaction adjustments promote comprehension of input, and comprehensible input promotes acquisition, it could be deduced that such modifications indirectly promote acquisition (Long 1985). The aim of this study is to examine the role that simplified syntax plays in facilitating comprehension in the second language classroom with elementary learners. The present study, thus, investigates the nature of teacher talk rather than foreigner talk or native talk (see Freed 1995 and Terrell 1995 for a discussion of these terms).",https://doi.org/10.1075/cilt.216.15sag,"Romance Syntax, Semantics and L2 Acquisition",,978-90-272-3723-1 (Eur.),,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2001931806&site=ehost-live,2001,11/6/19 21:37,11/6/19 21:37,197-210,197,210,13,"x, 246",,,99948,Amsterdam Studies in the Theory and History of Linguistic Science IV: 216,,,,mzh,EBSCOhost,,"<p>Accession Number: 2001931806. Series ISSN: 0304-0763. Title Page Note: Selected Papers from the 30th Linguistic Symposium on Romance Languages, Gainesville, Florida, February 2000 Publication Type: book article. Language: English. Update Code: 200107. DOI: 10.1075/cilt.216.15sag.</p>",book article,,,"Camps, Joaquim; Wiltshire, Caroline R.",LSRL30,University of Florida,Linguistic Symposium on Romance Languages
